
DECIMAL       HEXADECIMAL     DESCRIPTION
18861032      0x11FCBE8       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
18861138      0x11FCC52       Zlib compressed data, best compression
18861792      0x11FCEE0       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
18983368      0x121A9C8       PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
18984688      0x121AEF0       PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
19081672      0x12329C8       Microsoft executable, portable (PE)
19216160      0x1253720       Copyright string: "Copyright (c) 1992-2004 by P.J. Plauger, licensed by Dinkumware, Ltd. ALL RIGHTS RESERVED."
19239096      0x12590B8       PNG image, 52 x 268, 8-bit/color RGBA, non-interlaced
19239158      0x12590F6       Zlib compressed data, best compression
19240792      0x1259758       PNG image, 76 x 125, 8-bit/color RGBA, non-interlaced
19329727      0x126F2BF       Certificate in DER format (x509 v3), header length: 4, sequence length: 1914
19332695      0x126FE57       Certificate in DER format (x509 v3), header length: 4, sequence length: 1649
19390437      0x127DFE5       Copyright string: "Copyright (c) 1997 Microsof"
19782856      0x12DDCC8       PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
19877303      0x12F4DB7       mcrypt 2.2 encrypted data, algorithm: DES, mode: CBC, keymode: 8bit
20067000      0x13232B8       PNG image, 100 x 34, 8-bit/color RGBA, non-interlaced
20067536      0x13234D0       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
20068648      0x1323928       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
20069576      0x1323CC8       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
20074496      0x1325000       Microsoft executable, portable (PE)
20124496      0x1331350       XML document, version: "1.0"
20124558      0x133138E       Copyright string: "Copyright (c) Microsoft Corporation -->"
20229072      0x134ABD0       PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
20453136      0x1381710       PNG image, 24 x 72, 8-bit/color RGB, non-interlaced
20454256      0x1381B70       PNG image, 7 x 7, 8-bit/color RGB, non-interlaced
20454424      0x1381C18       PNG image, 15 x 15, 8-bit/color RGB, non-interlaced
20454608      0x1381CD0       PNG image, 14 x 246, 8-bit/color RGBA, non-interlaced
20512768      0x1390000       Microsoft executable, portable (PE)
20643840      0x13B0000       Microsoft executable, portable (PE)
21033680      0x140F2D0       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
21034936      0x140F7B8       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
21036288      0x140FD00       PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
21350219      0x145C74B       mcrypt 2.5 encrypted data, algorithm: "sProcessorFeaturePresent", keysize: 704 bytes, mode: "G",
21715080      0x14B5888       Microsoft executable, portable (PE)
22436572      0x1565ADC       Certificate in DER format (x509 v3), header length: 4, sequence length: 1649
22507688      0x15770A8       PNG image, 30 x 16, 8-bit/color RGBA, non-interlaced
22509032      0x15775E8       PNG image, 64 x 26, 8-bit/color RGBA, non-interlaced
22509944      0x1577978       PNG image, 64 x 26, 8-bit/color RGBA, non-interlaced
22511280      0x1577EB0       PNG image, 22 x 132, 8-bit/color RGBA, non-interlaced
22538589      0x157E95D       Zlib compressed data, best compression
22539048      0x157EB28       PNG image, 3 x 92, 8-bit/color RGBA, non-interlaced
22917120      0x15DB000       Microsoft executable, portable (PE)
23384064      0x164D000       Microsoft executable, portable (PE)
23441408      0x165B000       Microsoft executable, portable (PE)
23450947      0x165D543       Certificate in DER format (x509 v3), header length: 4, sequence length: 1914
23856304      0x16C04B0       Base64 standard index table
24092672      0x16FA000       Microsoft executable, portable (PE)
24237585      0x171D611       Certificate in DER format (x509 v3), header length: 4, sequence length: 1235
24240304      0x171E0B0       PNG image, 17 x 80, 8-bit/color RGBA, non-interlaced
24241096      0x171E3C8       PNG image, 13 x 60, 8-bit/color RGBA, non-interlaced
24241704      0x171E628       PNG image, 17 x 80, 8-bit/color RGBA, non-interlaced
24241810      0x171E692       Zlib compressed data, best compression
24242000      0x171E750       PNG image, 13 x 60, 8-bit/color RGBA, non-interlaced
24242216      0x171E828       PNG image, 17 x 80, 8-bit/color RGBA, non-interlaced
24242322      0x171E892       Zlib compressed data, best compression
24242736      0x171EA30       PNG image, 13 x 60, 8-bit/color RGBA, non-interlaced
24243112      0x171EBA8       PNG image, 17 x 80, 8-bit/color RGBA, non-interlaced
24243218      0x171EC12       Zlib compressed data, best compression
24243768      0x171EE38       PNG image, 13 x 60, 8-bit/color RGBA, non-interlaced
24264704      0x1724000       Microsoft executable, portable (PE)
24414256      0x1748830       PNG image, 15 x 56, 8-bit/color RGBA, non-interlaced
24414696      0x17489E8       PNG image, 32 x 8, 8-bit/color RGBA, non-interlaced
24414936      0x1748AD8       PNG image, 38 x 114, 8-bit/color RGBA, non-interlaced
24445840      0x1750390       PNG image, 23 x 154, 8-bit/color RGBA, non-interlaced
24447296      0x1750940       PNG image, 9 x 132, 8-bit/color RGBA, non-interlaced
24448320      0x1750D40       PNG image, 23 x 154, 8-bit/color RGBA, non-interlaced
24510824      0x1760168       PNG image, 22 x 44, 8-bit/color RGBA, non-interlaced
24512240      0x17606F0       PNG image, 11 x 45, 8-bit/color RGBA, non-interlaced
24513072      0x1760A30       PNG image, 18 x 54, 8-bit/color RGBA, non-interlaced
24809824      0x17A9160       XML document, version: "1.0"
24809886      0x17A919E       Copyright string: "Copyright (c) Microsoft Corporation -->"
24924160      0x17C5000       Microsoft executable, portable (PE)
25200680      0x1808828       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
25200786      0x1808892       Zlib compressed data, best compression
25201040      0x1808990       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
25201146      0x18089FA       Zlib compressed data, best compression
25201328      0x1808AB0       PNG image, 70 x 31, 8-bit/color RGBA, non-interlaced
25201434      0x1808B1A       Zlib compressed data, best compression
25201960      0x1808D28       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
25202066      0x1808D92       Zlib compressed data, best compression
25202432      0x1808F00       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
25374720      0x1833000       Microsoft executable, portable (PE)
25571448      0x1863078       PNG image, 11 x 132, 8-bit/color RGBA, non-interlaced
25571533      0x18630CD       Zlib compressed data, best compression
25574205      0x1863B3D       Zlib compressed data, best compression
25575240      0x1863F48       PNG image, 15 x 84, 8-bit/color RGBA, non-interlaced
25751552      0x188F000       Microsoft executable, portable (PE)
26059057      0x18DA131       Certificate in DER format (x509 v3), header length: 4, sequence length: 1552
26060613      0x18DA745       Certificate in DER format (x509 v3), header length: 4, sequence length: 1914
26081080      0x18DF738       PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
26285352      0x1911528       Microsoft executable, portable (PE)
26440856      0x1937498       PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
26441712      0x19377F0       PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
26441774      0x193782E       Zlib compressed data, best compression
26442608      0x1937B70       PNG image, 52 x 252, 8-bit/color RGBA, non-interlaced
26657028      0x196C104       Neighborly text, "NeighborntThreadCompartmentId"
26702368      0x1977220       PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
27051136      0x19CC480       PNG image, 22 x 66, 8-bit/color RGBA, non-interlaced
27052408      0x19CC978       PNG image, 14 x 276, 8-bit/color RGBA, non-interlaced
27119616      0x19DD000       Microsoft executable, portable (PE)
27582464      0x1A4E000       Microsoft executable, portable (PE)
27605298      0x1A53932       Copyright string: "Copyright (c) Microsoft Corporation.  All rights reserved."
28073984      0x1AC6000       Microsoft executable, portable (PE)
28130720      0x1AD3DA0       XML document, version: "1.0"
28230472      0x1AEC348       Microsoft executable, portable (PE)
28360844      0x1B0C08C       Certificate in DER format (x509 v3), header length: 4, sequence length: 458
28362860      0x1B0C86C       Certificate in DER format (x509 v3), header length: 4, sequence length: 1039
28789752      0x1B74BF8       Certificate in DER format (x509 v3), header length: 4, sequence length: 899
28893184      0x1B8E000       Microsoft executable, portable (PE)
29028408      0x1BAF038       Certificate in DER format (x509 v3), header length: 4, sequence length: 1468
29029880      0x1BAF5F8       Certificate in DER format (x509 v3), header length: 4, sequence length: 1543
29066865      0x1BB8671       mcrypt 2.5 encrypted data, algorithm: "sProcessorFeaturePresent", keysize: 1069 bytes, mode: "Q",
29544479      0x1C2D01F       Neighborly text, "NeighborObjectt"
29544562      0x1C2D072       Neighborly text, "NeighborObjectddressObject"
29935144      0x1C8C628       PNG image, 16 x 48, 8-bit/color RGBA, non-interlaced
29936968      0x1C8CD48       PNG image, 90 x 12, 8-bit/color RGBA, non-interlaced
29937224      0x1C8CE48       PNG image, 86 x 8, 8-bit/color RGBA, non-interlaced
29995008      0x1C9B000       Microsoft executable, portable (PE)
30586048      0x1D2B4C0       Microsoft executable, portable (PE)
30588616      0x1D2BEC8       Microsoft executable, portable (PE)
30846820      0x1D6AF64       eCos RTOS string reference: "eCost: action already run in this engine."
30929960      0x1D7F428       PNG image, 16 x 48, 8-bit/color RGBA, non-interlaced
30931784      0x1D7FB48       PNG image, 90 x 12, 8-bit/color RGBA, non-interlaced
30932040      0x1D7FC48       PNG image, 86 x 8, 8-bit/color RGBA, non-interlaced
30932688      0x1D7FED0       PNG image, 5 x 8, 8-bit/color RGBA, non-interlaced
30932808      0x1D7FF48       PNG image, 86 x 240, 8-bit/color RGBA, non-interlaced
30986496      0x1D8D100       PNG image, 20 x 12, 8-bit/color RGBA, non-interlaced
30986920      0x1D8D2A8       PNG image, 15 x 84, 8-bit/color RGBA, non-interlaced
30987640      0x1D8D578       PNG image, 15 x 76, 8-bit/color RGBA, non-interlaced
30988272      0x1D8D7F0       PNG image, 15 x 80, 8-bit/color RGBA, non-interlaced
30988976      0x1D8DAB0       PNG image, 41 x 36, 8-bit/color RGBA, non-interlaced
30989320      0x1D8DC08       PNG image, 7 x 39, 8-bit/color RGBA, non-interlaced
30989968      0x1D8DE90       PNG image, 16 x 48, 8-bit/color RGBA, non-interlaced
31480339      0x1E05A13       Copyright string: "CopyrightAttribute"
31485952      0x1E07000       Microsoft executable, portable (PE)
31490720      0x1E082A0       PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
31491968      0x1E08780       PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
31492030      0x1E087BE       Zlib compressed data, best compression
31492424      0x1E08948       PNG image, 52 x 268, 8-bit/color RGBA, non-interlaced
31492486      0x1E08986       Zlib compressed data, best compression
31494120      0x1E08FE8       PNG image, 76 x 125, 0-bit grayscale, non-interlaced
31507152      0x1E0C2D0       PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
31507214      0x1E0C30E       Zlib compressed data, best compression
31779165      0x1E4E95D       mcrypt 2.5 encrypted data, algorithm: "sProcessorFeaturePresent", keysize: 871 bytes, mode: "I",
31913008      0x1E6F430       Certificate in DER format (x509 v3), header length: 4, sequence length: 573
31913600      0x1E6F680       Certificate in DER format (x509 v3), header length: 4, sequence length: 572
32110192      0x1E9F670       PNG image, 38 x 38, 8-bit/color RGBA, non-interlaced
32110656      0x1E9F840       PNG image, 30 x 16, 8-bit/color RGBA, non-interlaced
32112000      0x1E9FD80       PNG image, 64 x 26, 8-bit/color RGBA, non-interlaced
32264920      0x1EC52D8       Certificate in DER format (x509 v3), header length: 4, sequence length: 1649
32266573      0x1EC594D       Certificate in DER format (x509 v3), header length: 4, sequence length: 1242
32341989      0x1ED7FE5       Copyright string: "Copyright (c) 1997 Microsof"
32593027      0x1F15483       mcrypt 2.5 encrypted data, algorithm: "sProcessorFeaturePresent", keysize: 1069 bytes, mode: "Q",
32594016      0x1F15860       XML document, version: "1.0"
32969152      0x1F711C0       Microsoft executable, portable (PE)
33211136      0x1FAC300       PNG image, 52 x 336, 8-bit/color RGBA, non-interlaced
33211221      0x1FAC355       Zlib compressed data, best compression
33239644      0x1FB325C       GIF image data 27510
33474602      0x1FEC82A       Copyright string: "Copyright Microsoft Corp. 1993. All rights reserved."
33591440      0x2009090       Minix filesystem, V1, little endian, 26396 zones
33633152      0x2013380       PNG image, 2 x 55, 8-bit/color RGBA, non-interlaced
33633256      0x20133E8       PNG image, 9 x 38, 8-bit/color RGBA, non-interlaced
33633624      0x2013558       PNG image, 5 x 5, 8-bit/color RGB, non-interlaced
33633744      0x20135D0       PNG image, 54 x 69, 8-bit/color RGBA, non-interlaced
33634312      0x2013808       PNG image, 20 x 12, 8-bit/color RGBA, non-interlaced
33634616      0x2013938       PNG image, 11 x 24, 8-bit/color RGBA, non-interlaced
33634896      0x2013A50       PNG image, 15 x 84, 8-bit/color RGBA, non-interlaced
33673248      0x201D020       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
33673354      0x201D08A       Zlib compressed data, best compression
33673512      0x201D128       PNG image, 70 x 31, 8-bit/color RGBA, non-interlaced
33673618      0x201D192       Zlib compressed data, best compression
33674136      0x201D398       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
33674242      0x201D402       Zlib compressed data, best compression
33674648      0x201D598       PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
33674754      0x201D602       Zlib compressed data, best compression
33675152      0x201D790       PNG image, 11 x 11, 8-bit/color RGBA, non-interlaced
33675304      0x201D828       PNG image, 2 x 20, 8-bit/color RGB, non-interlaced
33675488      0x201D8E0       PNG image, 17 x 32, 8-bit/color RGBA, non-interlaced
33676488      0x201DCC8       PNG image, 17 x 32, 8-bit/color RGBA, non-interlaced
33723768      0x2029578       PNG image, 15 x 56, 8-bit/color RGBA, non-interlaced
33724208      0x2029730       PNG image, 32 x 8, 8-bit/color RGBA, non-interlaced
33724448      0x2029820       PNG image, 38 x 114, 8-bit/color RGBA, non-interlaced
33952912      0x2061490       PNG image, 22 x 132, 8-bit/color RGBA, non-interlaced
33955800      0x2061FD8       PNG image, 11 x 110, 8-bit/color RGBA, non-interlaced
34322488      0x20BB838       PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
34446544      0x20D9CD0       PNG image, 100 x 136, 8-bit/color RGBA, non-interlaced
34446606      0x20D9D0E       Zlib compressed data, best compression
34446984      0x20D9E88       PNG image, 100 x 34, 8-bit/color RGBA, non-interlaced
34857440      0x213E1E0       XML document, version: "1.0"
34857502      0x213E21E       Copyright string: "Copyright (c) Microsoft Corporation -->"
35464308      0x21D2474       Boot section Start 0x182442 End 0x0
35464668      0x21D25DC       Boot section Start 0x182442 End 0x0
35505144      0x21DC3F8       Certificate in DER format (x509 v3), header length: 4, sequence length: 1543
35508015      0x21DCF2F       Certificate in DER format (x509 v3), header length: 4, sequence length: 1552
35528760      0x21E2038       Certificate in DER format (x509 v3), header length: 4, sequence length: 1468
35530232      0x21E25F8       Certificate in DER format (x509 v3), header length: 4, sequence length: 1543
35578696      0x21EE348       Certificate in DER format (x509 v3), header length: 4, sequence length: 982
35579696      0x21EE730       Certificate in DER format (x509 v3), header length: 4, sequence length: 673
35884808      0x2238F08       PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
36112622      0x22708EE       Copyright string: "copyright="Copyright (c) Microsoft Corporation. All Rights Reserved.">"
36112633      0x22708F9       Copyright string: "Copyright (c) Microsoft Corporation. All Rights Reserved.">"
36356096      0x22AC000       Microsoft executable, portable (PE)
36385040      0x22B3110       Certificate in DER format (x509 v3), header length: 4, sequence length: 2226
36385209      0x22B31B9       Digi International firmware, load address: 0x204D6963, entry point: 0x66742053,
36386352      0x22B3630       Copyright string: "Copyright (c)1996 VeriSign, Inc.  All Rights Reserved. CERTAIN"
36798680      0x23180D8       Certificate in DER format (x509 v3), header length: 4, sequence length: 1649
36800333      0x231874D       Certificate in DER format (x509 v3), header length: 4, sequence length: 1242
37303120      0x2393350       XML document, version: "1.0"
37303182      0x239338E       Copyright string: "Copyright (c) Microsoft Corporation -->"
38156669      0x246397D       Zlib compressed data, best compression
